Index,Before,After,Bit,Diff
291435,111,110,0,-1
777621,87,86,0,-1
735601,93,92,0,-1
70939,41,40,0,-1
434175,133,132,0,-1
307548,157,156,0,-1
628188,127,126,0,-1
544500,126,127,1,1
426395,237,236,0,-1
607775,227,226,0,-1
516688,115,114,0,-1
302894,132,133,1,1
758801,225,224,0,-1
359020,75,74,0,-1
173336,155,154,0,-1
220703,165,164,0,-1
410381,175,174,0,-1
748128,111,110,0,-1
211055,109,108,0,-1
685526,215,214,0,-1
373133,203,202,0,-1
315905,211,210,0,-1
365997,75,74,0,-1
125683,107,106,0,-1
221304,125,124,0,-1
62291,221,220,0,-1
62403,125,124,0,-1
371818,131,130,0,-1
207738,171,170,0,-1
410491,89,88,0,-1
653982,101,100,0,-1
770661,111,110,0,-1
433211,169,168,0,-1
344942,219,218,0,-1
53853,71,70,0,-1
259355,193,192,0,-1
404010,81,80,0,-1
482138,215,214,0,-1
243415,93,92,0,-1
733815,109,108,0,-1
533877,147,146,0,-1
98335,87,86,0,-1
208512,103,102,0,-1
663101,217,216,0,-1
77612,225,224,0,-1
181715,129,128,0,-1
449256,129,128,0,-1
332545,147,146,0,-1
353301,73,72,0,-1
434137,197,196,0,-1
232407,193,192,0,-1
13300,151,150,0,-1
698380,121,120,0,-1
166251,103,102,0,-1
252136,63,62,0,-1
633594,189,188,0,-1
525893,197,196,0,-1
406383,151,150,0,-1
397527,117,116,0,-1
188614,109,108,0,-1
293281,197,196,0,-1
729080,213,212,0,-1
527860,173,172,0,-1
361487,85,84,0,-1
80908,195,194,0,-1
59530,75,74,0,-1
38665,27,26,0,-1
124571,237,236,0,-1
780912,119,118,0,-1
25495,109,108,0,-1
399611,175,174,0,-1
237658,15,14,0,-1
287052,115,114,0,-1
672803,221,220,0,-1
466364,211,210,0,-1
22467,107,106,0,-1
296204,197,196,0,-1
293194,115,114,0,-1
737508,75,74,0,-1
15212,121,120,0,-1
585049,21,20,0,-1
172009,53,52,0,-1
551189,91,90,0,-1
77041,21,20,0,-1
459764,181,180,0,-1
537898,63,62,0,-1
71290,85,84,0,-1
462098,177,176,0,-1
76027,111,110,0,-1
391462,139,138,0,-1
349935,123,122,0,-1
614474,163,162,0,-1
131060,105,104,0,-1
299469,149,148,0,-1
239061,61,60,0,-1
316972,15,14,0,-1
298206,137,136,0,-1
478943,101,100,0,-1
757434,85,84,0,-1
108165,65,64,0,-1
643791,67,66,0,-1
605507,179,178,0,-1
777098,191,190,0,-1
291683,223,222,0,-1
372172,67,66,0,-1
286006,45,44,0,-1
530062,151,150,0,-1
366382,185,184,0,-1
271595,203,202,0,-1
685946,195,194,0,-1
780266,211,210,0,-1
329058,85,84,0,-1
247056,117,116,0,-1
297553,9,8,0,-1
626777,213,212,0,-1
214772,193,192,0,-1
688127,95,94,0,-1
334946,217,216,0,-1
76911,113,112,0,-1
221421,99,98,0,-1
776260,101,100,0,-1
404785,85,84,0,-1
629237,215,214,0,-1
554577,73,72,0,-1
643083,111,110,0,-1
172658,99,98,0,-1
700974,123,122,0,-1
441378,71,70,0,-1
644180,201,200,0,-1
204012,119,118,0,-1
756738,115,114,0,-1
311147,217,216,0,-1
608656,65,64,0,-1
225264,71,70,0,-1
703280,251,250,0,-1
195721,35,34,0,-1
762322,93,92,0,-1
203415,75,74,0,-1
633006,91,90,0,-1
255979,23,22,0,-1
43377,59,58,0,-1
598943,197,196,0,-1
646433,107,106,0,-1
769354,89,88,0,-1
607040,177,176,0,-1
238648,19,18,0,-1
517854,75,74,0,-1
52203,65,64,0,-1
111257,189,188,0,-1
285726,67,66,0,-1
638303,231,230,0,-1
250644,69,68,0,-1
511006,191,190,0,-1
213136,131,130,0,-1
226120,61,60,0,-1
131615,245,244,0,-1
388615,73,72,0,-1
171520,15,14,0,-1
152356,63,62,0,-1
287526,157,156,0,-1
21642,123,122,0,-1
507975,185,184,0,-1
546509,235,234,0,-1
386024,137,136,0,-1
241759,27,26,0,-1
328091,225,224,0,-1
702559,113,112,0,-1
433061,207,206,0,-1
432398,189,188,0,-1
92026,67,66,0,-1
139548,95,94,0,-1
425738,175,174,0,-1
154856,175,174,0,-1
241484,135,134,0,-1
42528,177,176,0,-1
185088,89,88,0,-1
546696,135,134,0,-1
517421,193,192,0,-1
527718,133,132,0,-1
255171,75,74,0,-1
240927,115,114,0,-1
43481,113,112,0,-1
769134,107,106,0,-1
517384,27,26,0,-1
756849,111,110,0,-1
706244,217,216,0,-1
335304,119,118,0,-1
224451,71,70,0,-1
402339,123,122,0,-1
742869,89,88,0,-1
19195,99,98,0,-1
380079,153,152,0,-1
55266,75,74,0,-1
436007,203,202,0,-1
707643,113,112,0,-1
248338,45,44,0,-1
117915,125,124,0,-1
34364,125,124,0,-1
372084,85,84,0,-1
389726,163,162,0,-1
332660,221,220,0,-1
110873,85,84,0,-1
779352,101,100,0,-1
599431,149,148,0,-1
755214,125,124,0,-1
263421,103,102,0,-1
188773,203,202,0,-1
204168,161,160,0,-1
137809,13,12,0,-1
577006,203,202,0,-1
727243,87,86,0,-1
478527,155,154,0,-1
436610,189,188,0,-1
731473,85,84,0,-1
252437,213,212,0,-1
672861,97,96,0,-1
688925,225,224,0,-1
690892,111,110,0,-1
185180,219,218,0,-1
444642,121,120,0,-1
13546,81,80,0,-1
583123,193,192,0,-1
31719,125,124,0,-1
27022,113,112,0,-1
380143,17,16,0,-1
358874,177,176,0,-1
427372,87,86,0,-1
161019,95,94,0,-1
151986,83,82,0,-1
599727,135,134,0,-1
227355,57,56,0,-1
337867,181,180,0,-1
